,Url_Types,Url_Category
0,/wap/load.asp,26
1,/wap/info.asp,20
2,/wap/read.asp,31
3,/wap/next.asp,29
4,/wap/lastread.asp,23
5,/wap/init.asp,21
6,/wap/list.asp,24
7,/wap/list_ajax.asp,25
8,/wap/index.asp,19
9,/wap/is.asp,22
10,/wap/search.asp,35
11,/wap/prev.asp,30
12,/wap/record.asp,32
13,/wap/login.asp,27
14,/wap/hot.asp,17
15,/wap/hot_ajax.asp,18
16,/wap/login_save.asp,28
17,/wap/reg.asp,33
18,/baomanhuaadmin/login.asp,4
19,/wap/reg_save.asp,34
20,/baomanhuaadmin/success.asp,12
21,/wap/user.asp,36
22,/baomanhuaadmin/index.asp,2
23,/baomanhuaadmin/left.asp,3
24,/baomanhuaadmin/Top.asp,0
25,/baomanhuaadmin/main.asp,5
26,/baomanhuaadmin/qTcms_Comics/index.asp,9
27,/wap/fav.asp,15
28,/baomanhuaadmin/qTcms_Comics/edit2.asp,8
29,/baomanhuaadmin/qTcms_Comics/Cache.asp,6
30,/qTcms_Upload/UPpic2009063/update.asp,13
31,/baomanhuaadmin/qTcms_MakeHtml/makealldetail.asp,10
32,/baomanhuaadmin/error.asp,1
33,/baomanhuaadmin/qTcms_Comics/edit.asp,7
34,/qTcms_Upload/Uppic2009061/Uploadpicture.asp,14
35,/baomanhuaadmin/qTcms_MakeHtml/makedetail.asp,11
36,/wap/fav_ajax.asp,16
