,Agent_IP_Types,Agent_IP_Category
0,111.30.141.47,167
1,14.114.242.208,604
2,101.228.128.164,55
3,183.195.233.90,874
4,222.160.158.188,984
5,111.161.52.28,142
6,180.118.46.91,796
7,183.195.232.17,869
8,183.232.118.16,882
9,183.232.118.14,880
10,120.204.201.77,463
11,112.229.214.119,176
12,120.196.212.23,457
13,183.195.233.181,873
14,180.153.206.13,813
15,183.232.118.13,879
16,42.92.163.9,1079
17,180.153.201.212,806
18,112.64.235.248,186
19,123.232.135.20,541
20,114.234.135.92,276
21,183.61.32.57,898
22,115.197.218.80,310
23,111.30.132.190,161
24,180.153.214.188,831
25,60.50.177.69,1207
26,101.85.143.70,64
27,223.104.21.149,1008
28,123.151.42.52,529
29,125.39.210.27,576
30,123.151.139.156,518
31,112.64.235.246,184
32,101.226.66.175,35
33,59.44.12.45,1190
34,112.65.193.14,199
35,180.153.206.31,823
36,101.226.66.174,34
37,112.64.235.249,187
38,42.91.68.126,1078
39,58.22.113.157,1159
40,61.49.57.61,1225
41,122.156.242.206,488
42,101.226.33.204,28
43,111.161.61.49,147
44,113.64.14.21,255
45,123.151.153.35,519
46,111.30.132.208,165
47,129.82.193.145,597
48,180.108.87.156,795
49,211.136.233.161,919
50,180.153.114.197,801
51,112.65.193.16,201
52,117.136.7.175,356
53,112.64.235.254,192
54,220.202.153.108,962
55,111.30.132.212,166
56,68.102.3.253,1229
57,123.151.42.48,526
58,117.136.36.44,353
59,101.226.89.123,51
60,117.185.27.103,381
61,101.226.89.193,53
62,120.204.200.83,461
63,112.65.193.15,200
64,101.226.89.14,52
65,180.153.206.26,822
66,180.153.201.214,807
67,180.153.206.35,827
68,101.226.66.173,33
69,14.17.37.69,737
70,183.195.232.24,870
71,180.153.114.199,802
72,36.59.238.29,1053
73,101.226.89.121,49
74,117.148.199.39,370
75,223.104.11.159,1002
76,182.109.198.238,848
77,112.64.235.91,197
78,111.30.132.176,160
79,60.190.144.57,1197
80,42.62.74.33,1074
81,42.62.74.32,1073
82,120.198.202.48,458
83,114.238.69.9,278
84,113.83.58.163,264
85,111.161.59.193,145
86,1.57.102.200,7
87,110.211.112.205,119
88,223.92.226.106,1032
89,223.85.132.34,1029
90,112.64.235.247,185
91,61.191.40.75,1220
92,182.131.12.36,856
93,211.140.18.121,924
94,183.195.232.37,871
95,101.226.68.217,44
96,101.226.66.191,41
97,125.39.210.31,577
98,222.73.76.253,995
99,125.39.57.39,583
100,120.204.200.42,460
101,175.165.168.255,778
102,211.161.247.18,930
103,101.226.69.108,45
104,117.135.170.67,341
105,180.153.205.254,812
106,180.153.205.252,811
107,111.11.189.20,134
108,218.89.36.124,948
109,111.161.59.195,146
110,180.153.206.37,829
111,180.153.206.32,824
112,111.161.57.49,144
113,123.170.137.128,538
114,183.246.144.48,885
115,183.158.201.244,866
116,124.205.77.160,562
117,182.140.184.85,857
118,117.175.88.50,380
119,112.64.235.90,196
120,180.153.206.38,830
121,221.130.131.241,966
122,117.185.27.104,382
123,223.211.227.75,1022
124,101.226.125.121,23
125,113.6.133.112,254
126,111.30.132.194,162
127,180.153.206.17,815
128,106.8.176.110,106
129,122.245.53.77,490
130,117.88.176.147,388
131,112.64.235.245,183
132,220.168.108.104,955
133,117.35.57.1,385
134,114.253.254.110,286
135,27.154.162.95,1038
136,114.238.157.183,277
137,211.136.233.166,920
138,221.237.30.135,979
139,211.161.247.146,929
140,223.104.12.22,1003
141,1.204.149.194,2
142,61.49.57.55,1223
143,106.39.189.219,91
144,111.30.132.195,163
145,180.175.238.219,840
146,112.64.235.250,188
147,180.153.206.16,814
148,113.108.11.50,218
149,171.208.221.89,763
150,120.196.211.151,455
151,117.136.82.229,366
152,112.64.235.87,194
153,180.153.206.34,826
154,117.136.81.13,364
155,120.204.201.76,462
156,112.64.235.89,195
157,114.244.101.5,283
158,101.226.66.178,37
159,114.86.240.129,293
160,60.27.208.123,1206
161,180.98.21.81,844
162,125.39.239.165,578
163,125.39.57.37,581
164,36.48.94.171,1052
165,153.119.221.251,755
166,61.170.217.52,1216
167,175.144.193.245,772
168,180.103.208.219,794
169,111.30.132.158,159
170,182.125.202.10,853
171,180.153.206.22,820
172,101.226.66.181,39
173,14.17.37.145,733
174,106.39.189.31,98
175,106.39.189.252,95
176,106.39.189.245,92
177,106.39.189.33,100
178,106.39.189.35,101
179,106.39.189.254,97
180,36.63.43.92,1055
181,180.153.206.18,816
182,106.39.189.160,83
183,60.188.142.238,1196
184,101.226.66.187,40
185,116.230.60.122,330
186,101.226.61.193,32
187,122.139.13.186,486
188,123.136.107.197,498
189,101.226.89.115,46
190,123.189.98.24,540
191,101.87.56.36,69
192,211.103.82.156,913
193,182.140.184.88,858
194,183.232.118.15,881
195,14.17.37.162,735
196,223.85.132.35,1030
197,58.200.129.153,1092
198,121.25.182.255,477
199,112.64.235.86,193
200,110.103.144.32,109
201,223.104.20.186,1007
202,223.68.162.164,1026
203,116.23.55.68,329
204,123.136.107.60,500
205,180.153.163.206,805
206,222.132.8.247,982
207,27.211.120.55,1043
208,183.52.118.224,892
209,112.96.106.181,206
210,14.152.68.19,620
211,14.152.68.17,617
212,14.152.68.24,625
213,14.152.68.16,616
214,14.152.68.20,621
215,14.152.68.22,623
216,14.152.68.14,612
217,14.152.69.245,715
218,14.152.69.236,709
219,220.248.175.104,963
220,14.152.69.242,713
221,101.226.66.193,43
222,222.34.104.67,989
223,14.152.68.18,619
224,14.152.69.240,712
225,14.152.69.238,711
226,14.152.69.204,692
227,14.152.69.206,694
228,180.153.163.187,804
229,171.223.140.167,767
230,14.152.69.212,698
231,14.152.69.210,696
232,14.152.69.237,710
233,14.152.69.205,693
234,123.90.224.9,548
235,14.152.68.15,614
236,14.152.69.213,699
237,211.103.82.135,911
238,117.136.36.217,351
239,101.87.216.140,68
240,14.152.69.211,697
241,14.152.68.21,622
242,14.152.69.208,695
243,42.84.17.181,1076
244,14.152.69.214,700
245,60.173.163.128,1195
246,180.153.206.25,821
247,111.30.132.205,164
248,120.215.65.37,465
