,Unnamed: 0,Date & Time,User IP,Method,Url,Query String,Agent IP,Browser Type,OS,Url_Category,Agent_IP_Category,Login Type,HTTP Status,Test1,Win 32 Status,Sub Status,Cluster Names
0,0,2015-03-01 00:01:31,118.244.228.205,GET,/wap/load.asp,comicId=12554&chapterId=138863&imageId=16&_=1425167770018,111.30.141.47,Mozilla,0,26,167,1,200,0,64,79,3
1,1,2015-03-01 00:01:31,118.244.228.205,GET,/wap/load.asp,comicId=12441&chapterId=133729&imageId=2&_=1425167973399,14.114.242.208,Mozilla,1,26,604,1,200,0,0,118,5
2,4,2015-03-01 00:01:31,118.244.228.205,GET,/wap/load.asp,comicId=12539&chapterId=138542&imageId=7&_=1425168031241,101.228.128.164,Mozilla,1,26,55,1,200,0,0,268,3
3,5,2015-03-01 00:01:31,118.244.228.205,GET,/wap/info.asp,id=12491,183.195.233.90,Mozilla,0,20,874,1,200,0,64,182,2
4,6,2015-03-01 00:01:32,118.244.228.205,GET,/wap/read.asp,chapterId=131213&comicId=12397,222.160.158.188,Mozilla,0,31,984,1,200,0,0,177,2
5,7,2015-03-01 00:01:32,118.244.228.205,GET,/wap/load.asp,comicId=12622&chapterId=141297&imageId=124&_=1425166936378,111.161.52.28,Mozilla,0,26,142,1,200,0,64,69,3
6,8,2015-03-01 00:01:32,118.244.228.205,GET,/wap/load.asp,comicId=12631&chapterId=141757&imageId=20&_=1425168070593,180.118.46.91,Mozilla,0,26,796,1,200,0,0,109,2
7,9,2015-03-01 00:01:32,118.244.228.205,GET,/wap/load.asp,comicId=12473&chapterId=135044&imageId=18&_=1425167984468,183.195.232.17,Mozilla,0,26,869,1,200,0,64,99,2
8,10,2015-03-01 00:01:32,118.244.228.205,GET,/wap/next.asp,comicId=12397&chapterId=131220&_=1425168090882,183.232.118.16,Mozilla,0,29,882,1,200,0,64,101,2
9,11,2015-03-01 00:01:32,118.244.228.205,GET,/wap/lastread.asp,comicId=12397&chapterId=131213&_=1425168110343,222.160.158.188,Mozilla,0,23,984,1,200,0,0,162,2
10,12,2015-03-01 00:01:32,118.244.228.205,GET,/wap/init.asp,comicId=12397&chapterId=131213&_=1425168110342,222.160.158.188,Mozilla,0,21,984,1,200,0,0,171,2
11,13,2015-03-01 00:01:32,118.244.228.205,GET,/wap/init.asp,comicId=12397&chapterId=131221&_=1425168090883,183.232.118.16,Mozilla,0,21,882,1,200,0,0,108,2
12,14,2015-03-01 00:01:32,118.244.228.205,GET,/wap/load.asp,comicId=12286&chapterId=124307&imageId=21&_=1425167387960,183.232.118.14,Mozilla,0,26,880,1,200,0,64,110,2
13,16,2015-03-01 00:01:33,118.244.228.205,GET,/wap/load.asp,comicId=12397&chapterId=131221&imageId=0&_=1425168090884,183.232.118.16,Mozilla,0,26,882,1,200,0,64,114,2
14,18,2015-03-01 00:01:33,118.244.228.205,GET,/wap/load.asp,comicId=12397&chapterId=131213&imageId=0&_=1425168110344,222.160.158.188,Mozilla,0,26,984,1,200,0,0,194,2
15,21,2015-03-01 00:01:34,118.244.228.205,GET,/wap/load.asp,comicId=12605&chapterId=140870&imageId=147&_=1425163026723,120.204.201.77,Mozilla,0,26,463,1,200,0,64,94,1
16,22,2015-03-01 00:01:34,118.244.228.205,GET,/wap/load.asp,comicId=12558&chapterId=139009&imageId=9&_=1425168079822,112.229.214.119,Mozilla,0,26,176,1,200,0,0,107,3
17,24,2015-03-01 00:01:34,118.244.228.205,GET,/wap/info.asp,id=12626,120.196.212.23,Mozilla,0,20,457,1,200,0,64,123,1
18,25,2015-03-01 00:01:35,118.244.228.205,GET,/wap/load.asp,comicId=12439&chapterId=133059&imageId=26&_=1425138885037,183.195.233.181,Mozilla,0,26,873,1,200,0,64,84,2
19,37,2015-03-01 00:01:36,118.244.228.205,GET,/wap/read.asp,chapterId=136063&comicId=12491,183.195.233.90,Mozilla,0,31,874,1,200,0,0,178,2
